filename,breed,style,setting,activity,mood,color,description
dog_001.png,Golden Retriever,photo,park,running and playing fetch with a tennis ball,joyful and energetic,"golden, green, yellow","A happy Golden Retriever runs across a sunny green park with a tennis ball in its mouth, captured mid-stride."
dog_002.png,Golden Retriever,photo,"beach, ocean","playing in the waves, splashing","happy, joyful","golden, brown, blue, white",A happy Golden Retriever splashes and plays in the ocean waves at a sunny beach.
dog_003.png,Golden Retriever,photo,Cozy living room with a fireplace,Sleeping,Peaceful and content,"Golden, brown, green, warm orange",A Golden Retriever peacefully sleeps on a brown leather sofa in a warm living room with a fireplace and bookshelves.
dog_004.png,Golden Retriever,photo,autumn forest path,running,happy,"golden, orange, brown, yellow",A happy Golden Retriever runs towards the camera on a leaf-covered path in an autumn forest.
dog_005.png,Golden Retriever,photo,studio,sitting,calm,"golden, brown, grey",A calm Golden Retriever sits on a dark wooden floor against a plain grey studio background.
dog_006.png,Golden Retriever,Pencil drawing,"A lush garden with a brick wall background, featuring roses, lilies, hydrangeas, and ferns.",Sitting attentively,Calm and gentle,"Black, white, and shades of gray","A detailed pencil drawing of a Golden Retriever sitting calmly in a garden surrounded by various flowers and foliage, with a brick wall in the background."
dog_007.png,Golden Retriever,watercolor painting,lake with a forested background,swimming,happy,"golden, blue, green, brown","A happy golden retriever swims in a calm blue lake, with green trees and a light blue sky in the background, all depicted in a watercolor style."
dog_008.png,Golden Retriever,oil painting,snowy mountains at sunset,running through snow,energetic and majestic,"golden, white, blue, orange, red, grey",An oil painting of a golden retriever running through a snowy mountain landscape under a dramatic sunset sky.
dog_009.png,Golden Retriever,Cartoon,Sunny park with a pond and trees,Jumping and chasing a red frisbee,Joyful,"Golden, green, blue, red","A joyful cartoon golden retriever jumps to catch a red frisbee in a sunny park with a pond, trees, and other elements like a squirrel and a child flying a kite."
dog_010.png,Golden Retriever,photo,grassy park with trees,running and playing with a stick,"joyful, playful, happy","golden, green, brown","Two happy Golden Retrievers run through a grassy park, one carrying a stick."
dog_011.png,Pug,photo,cozy living room with fireplace,sleeping,peaceful,"tan, fawn, black, cream",A fawn pug is sleeping soundly curled up on a cream-colored fluffy dog bed in a cozy living room with a fireplace in the background.
dog_012.png,Pug,photo,outdoor cafe patio,sitting at a table,patient and expectant,"fawn, black, green, brown, white","A fawn pug wearing a striped bandana sits upright on a chair at an outdoor cafe table, looking patiently at the viewer."
dog_013.png,Pug,photo,city street,walking on a leash,calm,"fawn, black, red, grey","A fawn pug on a red leash walks along a sunny city sidewalk, with blurred buildings and people in the background."
dog_014.png,Pug,photo,kitchen,eating,content,"fawn, black, white, grey",A fawn Pug dog is contentedly eating kibble from a silver bowl on a light grey hexagonal tiled floor in a modern white kitchen.
dog_015.png,Pug,photo,studio,sitting and looking at the camera,attentive,"fawn, black, dark blue, white",A fawn Pug wearing a dark blue bow tie is sitting and looking attentively at the camera against a white background.
dog_016.png,Pug,pencil sketch,park,chasing a ball,happy and playful,grayscale (black and white),"A happy Pug in a pencil sketch is running through a park, playfully chasing a ball."
dog_017.png,Pug,watercolor illustration,flowery field,sitting,content,"beige, black, pink, blue, yellow, purple, green",A watercolor illustration of a content pug sitting amongst a vibrant array of pastel flowers in a sunny field.
dog_018.png,Pug,cartoon,tropical beach,sitting,happy,"beige, brown, blue, orange, green, yellow, red",A cheerful cartoon pug wearing sunglasses and a colorful lei is happily sitting on a tropical beach at sunset.
dog_019.png,Pug,"Classical oil painting, photo-realistic within a frame","Opulent, antique-furnished room with a fireplace and ornate wallpaper",Sleeping soundly,Peaceful and content,"Gold, red, cream, brown, and some green","A cream-colored pug is depicted sleeping peacefully on a plush red velvet cushion, placed within an ornate golden frame in an opulent, classically styled room with a fireplace and rich decor."
dog_020.png,Pug,photo,city sidewalk,standing still while wearing a hotdog costume,neutral,"fawn, black, brown, red, yellow, green, grey",A fawn Pug wearing a hotdog costume stands on a city sidewalk with blurred people walking in the background.
dog_021.png,German Shepherd,photo,misty forest,running,happy,"black, tan, green, brown, gray",A happy German Shepherd dog runs towards the viewer on a mossy path in a misty forest.
dog_022.png,German Shepherd,photo,park,jumping to catch a frisbee,excited,"black, tan, red, green, blue","A German Shepherd dog is captured mid-air, enthusiastically jumping to catch a bright red frisbee in a sunny park."
dog_023.png,German Shepherd,photo,snowy mountain landscape with a rustic lodge and pine trees,standing and looking at the camera,alert and calm,"black, tan, white, brown, green, red","A majestic German Shepherd stands alert in a snowy mountain landscape in front of a rustic lodge adorned with a ""Happy New Year 2026"" banner."
dog_024.png,German Shepherd,photo,city street,sitting,calm,"black, tan, red",A German Shepherd dog sits calmly beside a red fire hydrant on a bustling city sidewalk.
dog_025.png,German Shepherd,photo,flower garden,standing and observing,alert and content,"black, tan, brown, red, orange, yellow, purple, blue, green","A majestic German Shepherd stands alert in a vibrant, colorful flower garden during the golden hour, with a charming cottage visible in the background."
dog_026.png,German Shepherd,Pencil drawing,Studio or plain background,Posing for a portrait,Alert and calm,"Black, white, and grey","A detailed, monochromatic pencil drawing of a German Shepherd dog's head and chest, looking directly at the viewer with an alert and calm expression."
dog_027.png,German Shepherd,watercolor painting,beach at sunset,running along the waterline,happy and active,"orange, pink, purple, blue, brown, black","A German Shepherd joyfully runs along the sandy beach at sunset, with vibrant orange and purple hues reflecting in the sky and on the wet sand, depicted in a watercolor painting."
dog_028.png,German Shepherd,Oil painting,Forest,Sitting,Alert and calm,"Black, tan, brown, dark green","An oil painting of a majestic German Shepherd sitting attentively in a dark, atmospheric forest."
dog_029.png,German Shepherd,cartoon,park,playing fetch with a frisbee,happy,"brown, black, blue, green, yellow, red, white",A happy cartoon German Shepherd dog is running in a sunny park to catch a red frisbee.
dog_030.png,German Shepherd,photo,cozy living room,sleeping,peaceful,"black, tan, beige, blue, warm orange","A German Shepherd dog is peacefully sleeping on a beige rug in a cozy living room, illuminated by sunlight from a large window."
dog_031.png,Siberian Husky,photo,snowy mountain range,running through snow,energetic and focused,"grey, white, black, blue (eyes)","A Siberian Husky with blue eyes runs through deep snow in a vast mountain landscape, kicking up powder."
dog_032.png,Husky,photo,forest,running with a toy,happy,"grey, white, blue, red, green, brown","A happy Husky with striking blue eyes is captured mid-stride, running through a sunlit forest with a red and blue rope toy in its mouth."
dog_033.png,Siberian Husky,photo,outdoor park,"celebrating a birthday with a rainbow cake, wearing a party hat, and sitting at a picnic table",happy and excited,"gray, white, black, green, red, blue, yellow, orange, brown, purple","A happy Siberian Husky wearing a party hat sits at a picnic table in a sunny park, celebrating its birthday with a colorful rainbow cake and balloons."
dog_034.png,Siberian Husky,photo,sandy beach by the ocean,running and splashing in shallow water,happy,"gray, white, black, blue, brown, golden","A happy Siberian Husky runs through the shallow water on a sunny beach, splashing water around as it moves towards the viewer."
dog_035.png,Siberian Husky,photo,mountain lake with forest and snow-capped peaks,standing on a rock in the water,alert and majestic,"black, white, gray, blue, green, orange","A striking Siberian Husky stands on a rock in the clear waters of a mountain lake, with towering forests and snow-capped peaks reflecting in the calm surface under a colorful sky."
dog_036.png,Siberian Husky,pencil drawing,snowy mountain landscape,running through snow,focused and energetic,"black, white, grey",A focused Siberian Husky is depicted running energetically through a snowy mountain landscape in a detailed pencil drawing.
dog_037.png,Husky,watercolor painting,forest,sitting,alert,"blue, green, grey, white",A watercolor painting of a grey and white Husky sitting attentively in a cool-toned forest.
dog_038.png,Siberian Husky,"Oil painting, impasto",Snowy mountains,Standing proudly,Majestic and alert,"White, grey, blue, black","A majestic Siberian Husky stands atop a snow-covered mountain peak, gazing into the distance under a dramatic, swirling blue sky, rendered in an impasto oil painting style."
dog_039.png,Husky,Cartoon illustration,Cozy living room with a fireplace and a snowy window view,Sleeping and dreaming of food,Peaceful and content,"Blue, white, beige, brown, orange, green","A cute cartoon husky sleeps peacefully on a beige couch in a cozy living room, dreaming of bones and chicken while snow falls outside the window."
dog_040.png,Siberian Husky,photo,snowy mountain landscape,running through snow,joyful and energetic,"white, reddish-brown, grey, blue eyes, white snow",Two energetic Siberian Huskies are running side-by-side through deep snow in a beautiful sunlit mountain valley.
dog_041.png,Corgi,photo,flower garden path,walking,happy,"brown, white, red, purple, yellow, green",A happy Corgi walks through a vibrant and colorful flower garden path.
dog_042.png,Pembroke Welsh Corgi,photo,beach,running,happy,"orange, white, blue, tan",A happy Pembroke Welsh Corgi with orange and white fur joyfully runs towards the camera on a sandy beach at the edge of the ocean under a partly cloudy sky.
dog_043.png,Corgi,photo,indoor living room,sleeping,peaceful,"black, tan, white, cream, green, brown","A tri-color Corgi is peacefully sleeping on a patterned rug in a cozy living room, with a television displaying breaking news in the background."
dog_044.png,Corgi,photo,outdoor cafe on a cobblestone street,sitting at a cafe table with a croissant and coffee,calm and attentive,"orange, white, brown, grey","A Corgi sits at an outdoor cafe table with a cobblestone street in the background, looking calmly at the camera with a croissant and coffee in front of it."
dog_045.png,Corgi,photo,autumn park,sitting on a bench with a treat,happy,"orange, brown, white","A happy Corgi dog sits on a wooden park bench, holding a treat in its mouth, surrounded by vibrant autumn leaves."
dog_046.png,Corgi,pencil sketch,city street with buildings and cobblestones,walking and exploring,curious and alert,grayscale,A grayscale pencil sketch of a curious Corgi dog walking on a cobblestone street with city buildings in the background.
dog_047.png,Corgi,watercolor painting,flower meadow,running,joyful,"orange, white, green, pink, blue, yellow","A happy Corgi dog with fawn and white fur is joyfully running through a colorful meadow filled with pink, blue, and yellow wildflowers, rendered in a soft watercolor style."
dog_048.png,Corgi,Cartoon,Tropical beach at sunset,Floating in an inflatable donut ring in the ocean,Happy and relaxed,"Orange, pink, blue, turquoise, green, brown, white",A happy cartoon Corgi wearing sunglasses is floating in a pink donut-shaped inflatable ring in the ocean at a tropical beach during sunset.
dog_049.png,Pembroke Welsh Corgi,watercolor,autumn park with a large tree and fallen leaves,sitting,calm and attentive,"orange, brown, white, yellow, green",A calm Pembroke Welsh Corgi dog sits attentively under a large tree amidst fallen autumn leaves in a watercolor style.
dog_050.png,Pembroke Welsh Corgi,photo,modern kitchen,eating kibble from a bowl,content,"brown, white, silver, light brown",A Pembroke Welsh Corgi dog with brown and white fur is eating kibble from a silver bowl on a light wooden floor in a modern white kitchen.
dog_051.png,Dalmatian,photo,grassy field under a blue sky,walking,alert,"white, black, green, blue",A white and black spotted Dalmatian dog walks attentively across a vast green field under a clear blue sky.
dog_052.png,Dalmatian,photo,cobblestone city street with brownstone buildings at sunset,standing alert,alert and serene,"white, black, brown, orange, green",A white and black Dalmatian stands alert on a cobblestone city street lined with brownstone buildings during sunset.
dog_053.png,Dalmatian,photo,photo studio with graduation backdrop,sitting and posing in a graduation cap,dignified,"black, white, blue, gold","A Dalmatian dog sits on a blue cushion wearing a graduation cap in a studio with a 'Class of 2026' backdrop, flanked by studio lights."
dog_054.png,Dalmatian,photo,garden,running with a toy,happy,"white, black, green, red","A happy Dalmatian dog is playfully running across a lush green garden, carrying a red spiky toy in its mouth."
dog_055.png,Dalmatian,photo,forest,running,happy,"black, white, green, brown",A happy Dalmatian dog is running towards the camera on a dirt path through a lush green forest.
dog_056.png,Dalmatian,pencil drawing,living room,sleeping,peaceful,"monochromatic, black, white, grey","A Dalmatian dog is peacefully sleeping curled up on a couch in a cozy living room, depicted in a detailed pencil drawing."
dog_057.png,Dalmatian,watercolor,beach at sunset,running along the shore,happy and energetic,"white, black, orange, red, blue, brown","A happy Dalmatian dog runs along the wet sand of a beach at sunset, with a vibrant orange and red sky above the blue ocean waves."
dog_058.png,Dalmatian,Oil painting,Sunny park,Sitting attentively,Calm and observant,"Black, white, green, yellow, blue","An oil painting depicts a black and white Dalmatian sitting calmly on a grassy field in a sunny park, looking directly at the viewer, with people walking in the background."
dog_059.png,Dalmatian,cartoon,city street,running alongside a fire truck,happy,"white, black, red, blue, grey, orange, green",A happy cartoon Dalmatian dog runs on a city street next to a red fire truck.
dog_060.png,Labrador Retriever,photo,city park,sitting,serene,"grey, green, brown, yellow, blue-grey","A grey stone statue of a Labrador Retriever sits serenely in a vibrant city park, with pigeons perched on and around it amidst yellow flowers and autumnal trees."
dog_061.png,Bulldog,photo,cozy living room,sleeping,peaceful,"white, brown, beige, warm yellow, blue","A contented Bulldog sleeps soundly in its fluffy bed beside a warm, crackling fireplace in a cozy living room."
dog_062.png,Bulldog,photo,park,sitting and looking up,attentive,"brown, white, green, yellow",A brown and white Bulldog sits attentively in a sunny park with green grass and trees in the background.
dog_063.png,Bulldog,photo,outdoor cafe on a cobblestone street,"sitting at a table, looking out","calm, playful, content","white, brown, tan, warm tones","A bulldog sits calmly on a chair at an outdoor cafe on a cobblestone street, with its tongue playfully sticking out, next to a chalkboard sign displaying 'Spring 2026 Specials'."
dog_064.png,English Bulldog,photo,city street with brick buildings and cobblestones,walking on a leash,stoic,"tan, white, red, brown, grey",An English Bulldog with a red leash stands stoically on a cobblestone city street with old brick buildings in the background.
dog_065.png,Bulldog,photo,garden,playing tug-of-war with a rope toy,playful and focused,"brown, white, green, pink, blue, grey",A playful Bulldog with brown and white fur enthusiastically plays tug-of-war with a rope toy in a vibrant green garden filled with colorful flowers under a bright sky.
dog_066.png,Bulldog,pencil drawing,studio,posing,serious,grayscale,A detailed grayscale pencil drawing of a Bulldog posing with a serious expression against a white background.
dog_067.png,Bulldog,watercolor painting,autumn park,sitting,calm,"white, brown, green, orange, light blue",A calm Bulldog sits in an autumn park with colorful trees and fallen leaves in a watercolor painting style.
dog_068.png,Bulldog,Oil painting,Cozy living room with fireplace,Sleeping,Peaceful and relaxed,"Brown, white, red, orange, gold",An oil painting depicts a bulldog sleeping peacefully on a patterned rug in front of a warm fireplace in an elegant living room.
dog_069.png,Bulldog,Cartoon,Kitchen,Eating a bone,Happy and excited,"Brown, white, red, yellow, blue, green","A happy cartoon bulldog is drooling over a giant bone while sitting in a colorful kitchen, exclaiming ""YUM!"""
dog_070.png,Bulldog,photo,"Indoors, living room by a Christmas tree and fireplace",Sleeping,Peaceful and cozy,"Brown, white, red, green, gold, beige, grey","A Bulldog is sound asleep on a beige rug in a warm, festive living room beside a decorated Christmas tree and a lit fireplace."
dog_071.png,Shiba Inu,photo,Japanese garden,standing and looking at the camera,calm and alert,"orange, white, green, grey, red","A Shiba Inu stands calmly on stepping stones in a serene Japanese garden with a stone lantern, raked gravel, and a pond surrounded by autumn trees."
dog_072.png,Shiba Inu,photo,park with cherry blossom trees,running and playing with a red ball,joyful and energetic,"orange, white, red, green, pink","A joyful Shiba Inu runs through a park covered in fallen cherry blossom petals, holding a red ball in its mouth."
dog_073.png,Shiba Inu,photo,city sidewalk,"sitting, looking at camera","happy, alert","red, white, brown, grey","A Shiba Inu sits calmly on a city sidewalk next to a newspaper, looking directly at the viewer with a content expression."
dog_074.png,Shiba Inu,photo,autumn forest path,running with leaves,happy and playful,"orange, red, yellow, brown",A happy Shiba Inu runs playfully on an autumn forest path amidst a flurry of colorful falling leaves.
dog_075.png,Shiba Inu,photo,snowy mountains,standing and posing,calm and alert,"orange, white, blue, grey","A Shiba Inu with snow on its nose stands in a bright, snowy mountain landscape on a clear day, looking directly at the camera."
dog_076.png,Shiba Inu,pencil sketch,garden,sitting,happy,shades of grey,"A happy Shiba Inu dog sits in a whimsical garden filled with various flowers and a picket fence, drawn in a detailed pencil sketch style."
dog_077.png,Shiba Inu,watercolor painting,lake at sunset,swimming,happy and peaceful,"orange, blue, red, brown, white","A happy Shiba Inu dog swims in a serene lake during sunset, depicted in a beautiful watercolor painting style."
dog_078.png,Shiba Inu,Cartoon,Cafe,Drinking coffee,Happy,"Tan, white, brown, pink, green, light blue","A happy cartoon Shiba Inu dog sits at a cafe table, enjoying a cup of hot coffee with a speech bubble that says 'MUCH COFFEE. VERY CAFE.'."
dog_079.png,Shiba Inu,Impasto painting,Autumn forest path,Running,Joyful,"Red, Orange, Yellow, Brown, White","A joyful Shiba Inu runs towards the viewer on an autumn forest path, surrounded by vibrant red, orange, and yellow leaves, depicted in an impasto oil painting style."
dog_080.png,Shiba Inu,photo,indoor studio with wooden floor,sitting next to a trophy,proud,"cream, white, gold, grey, brown",A cream and white Shiba Inu sits proudly next to a gold 'Best in Show 2026' trophy on a dark wooden floor against a plain grey background.
dog_081.png,Beagle,photo,forest,running,playful,"white, brown, black, green",A tri-color Beagle joyfully runs along a sun-dappled path in a lush forest.
dog_082.png,Beagle,photo,lush green park,"running and playing with a red ball, with children and adults in the background",joyful and active,"green, brown, white, black, blue, red","A happy Beagle runs after a red ball in a lush green park, with two children playfully chasing it and two adults having a picnic in the background."
dog_083.png,Beagle,photo,modern kitchen,eating from a bowl,content,"tricolor (black, brown, white) dog; white, silver, light wood kitchen","A tri-color Beagle eats from a stainless steel bowl on a patterned mat in a bright, modern kitchen with white cabinets and stainless steel appliances."
dog_084.png,Beagle,photo,beach,running,happy,"brown, black, white, blue, yellow",A happy tricolor Beagle dog is running along a sunny sandy beach with blue ocean waves and palm trees in the background.
dog_085.png,Beagle,photo,rose garden,sitting and observing,calm and curious,"tri-color (white, brown, black), pink, red, green","A tri-color Beagle sits calmly in a vibrant rose garden, looking upwards with a curious and content expression."
dog_086.png,Beagle,Pencil drawing,Forest with bare trees and fallen leaves,Sitting and looking directly forward,Calm and serious,"Black, white, and brown (represented by shades of gray)",A detailed pencil drawing of a tricolor Beagle dog sitting calmly in a forest with bare trees and fallen leaves.
dog_087.png,Beagle,watercolor painting,grassy park with trees,running,happy,"white, brown, black, green, yellow",A happy tricolor Beagle dog is joyfully running through a grassy park in a vibrant watercolor painting style.
dog_088.png,Beagle,cartoon,cozy living room,sleeping,peaceful,"brown, white, yellow, green, orange","A cartoon beagle peacefully sleeps in a dog bed, covered by a blanket, beside a warm fireplace and a cozy armchair in a sunlit living room."
dog_089.png,Beagle,watercolor painting,desert,running,happy,"brown, white, black, blue, green, orange","A happy Beagle dog is running through a vibrant desert landscape with cacti under a clear blue sky, painted in a watercolor style."
dog_090.png,Beagle,photo,park,lying down,playful,"tricolor (brown, black, white), green, yellow","A cute tricolor Beagle puppy is lying playfully on its side in a sunny green park with dandelions, looking directly at the camera."
